Product Name	Case	Size
Cardinal Towels	1	6 Roll
Americas Tradition Charolas		30ct
Fiora Essential Towels	1	6 Roll
Fiora Essential White Tissue	1	12 Roll
Fiora Essenttial Lavender Tissue	1	12 Roll
Good Time Foam Plates		22ct
Irresistible Kitchen Towels	1	6 Roll
Irresistible Lavender Tissue	1	12 Roll
Irresistible Unscented Tissue	1	12 Roll
Level Kitchen Towels	1	6 Roll
Level Lavender Tissue	1	12 Roll
Level Unscented Tissue	1	12 Roll
White Cloud Ultra Bath Tissue	1	12 Roll
1-2-3 Bag Detergent		10lb
1-2-3 Liquid Detergent	4	157oz
Alamo Bleach	6	128oz
Cloralen Bleach	8	80oz
Ensueno Fabric Softener Jug	1	7lt
Ensueno Rtd/Mod (40 Cases)	4	125oz
Eterna Multipurpose Cleaner	12	33oz
Stern-X Bleach	6	Gallon
Suavitel Fabric Softener (Jug)	1	8.5lt
Xtra Liquid Detergent	4	139oz
Los Pinos Mesquite Charcoal	1	8lb
Royal Oak Mesquite Charcoal	1	7.7lb
Royal Oak Charcoal	1	7.7lb
Sunset Mesquite Firewood	1	20lb
Crisco Vegetable Oil	9	40oz
Imperial Sugar	10	4lb
Jiffy Pancake Mix	8	32oz
Jiffy Corn Muffin Mix 	24	8.5oz
Jiffy Honey Cornbread Mix (Shipper)	72	8.5oz
Mazola Corn Oil	6	96oz
Mazola Corn Oil	4	Gallon
Mazola Corn Oil	12	40oz
Morrison Corn Kits	24	6oz
Nutrioli Soybean Oil	12	40oz
Pioneer Brown Gravy Mix	24	1.61oz
Pompeian Olive Oil Mix	36	16oz
Chata Bean Pouch	12	15.2oz
Chiky Cookies	12	16.9oz
Cuetara Animalitos	12	15.8oz
Cuetara Orejitas	12	12.35oz
Cuetara Saladas	12	17.5oz
Jumex Mango/Peach	1	12pk
Jumex Strawberry-Banna/Guava	1	12pk
Klass 1/4 Pallet Aguas	12	14oz
Klass Stickpak Powder		
Kuii Coconut Milk Asst.	12	9.6oz
La Costena Whole Jalapenos	12	26oz
Maizada Respada	12	8.2oz
Maizada Tostadas	12	
Maseca Corn Flour	10	4lb
Maseca Tamalera	10	4lb
Mexico Lindo Salsas	12	5oz
Molina Vanilla Shipper	12	8.3oz
San Marcos Whole Jalapenos	12	26oz
Stella Prayer Candles	12	8"
Totis Party Mix Chips	4	22ct
White Wing Tortilla Mix	6	4b
White Wing Tortilla Mix	1	20lb
Zuko Powdered Drink Mix	12	14.7oz
Zulka Sugar	1	4lb
Arizona Green Tea	24	23oz
Langers Apple Juice	8	64oz
Ocean Spray Cran Drinks	8	64oz
Suero Avanzado	12	84cs
M-O-M Family Size Cereal	1	Asst.
Brim's Cheese Puffs		7oz
Brim's Pork Skins		2.62oz
Cocochito Coconut Water	24	16.9oz
Colcafe Cappuccino	12	3.8oz
Colcafe Instant Coffee	6	6oz
Del Monte Tomato Sauce	48	8oz
Donde Bizcochitos/Globitos	12	
Doria Pasta	12	16oz
Ducales Crackers	12	
Elmers Chee Weez	12	
Gra Nuts		Asstd
Hungry Jack Syrup	12	
Hungry Jack Pancake Mix	12	
Joy Sugar Cone	72	12 Ct
Kraft Macaroni & Cheese	24	7.25oz
LDM Saltine Crackers	12	16 Oz
LDM Vanilla Wafers 	12	16 Oz
Maizada Tostadas		
M-O-M Supersize Cereal		Asst.
PAN	10	2.2Lb
PAN		5Lb
Post Hbo/Pebbles Mixed	12	Asst.
Powerhouse Asst. Cleaner	12	
Starburst/Sunkist Drink Mixes		6 Ct
Tadin Chamomile Tea (Shipper)	96	
TGIF Potato Skins	12	
Tuny Tuna in Water/Oil	24	10 Oz
Yoopy Seltzer Coconut	12	
Zaaschilla Guacamole Salsa	12	
